Ano;Região;UF;Estado;Organização Acadêmica;Instituicao;Instituição (Nome);Resultado Primário (Cidadã);Despesa empenhada;Despesa liquidada;Despesa paga;Despesa liq&RP;Despesa empenhada a liquidar;Crédito Disponível
2024;Norte;AM;Amazonas;"Institutos Federais, Cefet's e Colégio Pedro II";IFAM;Instituto Federal do Amazonas;Recurso do PAC;1405237,13;506617,79;171855,23;506617,79;898619,34;
2024;Norte;AP;Amapá;"Institutos Federais, Cefet's e Colégio Pedro II";IFAP;Instituto Federal do Amapá;Discricionário;20841717,19;4093054,86;3383435,27;12778864,02;16748662,33;3024006,61
2024;Norte;AP;Amapá;"Institutos Federais, Cefet's e Colégio Pedro II";IFAP;Instituto Federal do Amapá;Emenda de Bancada;;;;260967,60;;
2024;Norte;AP;Amapá;"Institutos Federais, Cefet's e Colégio Pedro II";IFAP;Instituto Federal do Amapá;Emenda Individual;;;;794251,38;;740000,00
2024;Norte;AP;Amapá;"Institutos Federais, Cefet's e Colégio Pedro II";IFAP;Instituto Federal do Amapá;Financeiro;13865414,00;6409309,98;6409309,98;6409309,98;7456104,02;
2024;Norte;AP;Amapá;"Institutos Federais, Cefet's e Colégio Pedro II";IFAP;Instituto Federal do Amapá;Obrigatório;93685498,00;45943925,59;44290298,51;45943925,59;47741572,41;3330377,00
2024;Norte;PA;Pará;"Institutos Federais, Cefet's e Colégio Pedro II";IFPA;Instituto Federal do Pará;Discricionário;60830645,58;29037295,41;28078717,43;44116727,67;31793350,17;16691655,46
2024;Norte;PA;Pará;"Institutos Federais, Cefet's e Colégio Pedro II";IFPA;Instituto Federal do Pará;Emenda de Bancada;;;;3470918,60;;1600000,00
2024;Norte;PA;Pará;"Institutos Federais, Cefet's e Colégio Pedro II";IFPA;Instituto Federal do Pará;Emenda Individual;;;;2294961,67;;2900000,00
2024;Norte;PA;Pará;"Institutos Federais, Cefet's e Colégio Pedro II";IFPA;Instituto Federal do Pará;Financeiro;71994116,00;33166013,33;33166013,33;33166013,33;38828102,67;
2024;Norte;PA;Pará;"Institutos Federais, Cefet's e Colégio Pedro II";IFPA;Instituto Federal do Pará;Obrigatório;493685914,00;238577228,72;233193242,58;238953702,63;255108685,28;10159802,00
2024;Norte;PA;Pará;"Institutos Federais, Cefet's e Colégio Pedro II";IFPA;Instituto Federal do Pará;Recurso do PAC;9680027,45;1250442,53;792538,71;1250442,53;8429584,92;297114,36
2024;Norte;PA;Pará;Universidades Federais;EMUFPA;Escola de Música da UFPA;Discricionário;11662919,64;11657992,33;11657992,33;13283172,33;4927,31;8404077,90
